step,elapsed_tokens,elapsed_examples,training_loss,training_sequence_accuracy,training_token_accuracy,validation_loss,validation_sequence_accuracy,validation_token_accuracy,classification/accuracy,classification/weighted_f1_score
1,41,1,0.5092357015594317,0.0,0.0,0.46110625452957904,0.0,0.0,,
2,90,2,0.3695625978051067,0.0,0.0,,,,,
3,131,3,0.3266863720573474,0.0,0.0,,,,,
4,164,4,0.17887793090030754,0.0,0.0,,,,,
5,213,5,0.07603310995296851,0.0,0.0,,,,,
6,254,6,0.06682235678605504,1.0,1.0,,,,,
7,295,7,0.023514765069689022,1.0,1.0,,,,,
8,344,8,0.017087184176258083,1.0,1.0,,,,,
9,385,9,0.023579171743491317,1.0,1.0,0.024153308295411992,1.0,1.0,,
10,426,10,0.33446250774350483,0.0,0.0,,,,,
11,467,11,0.19755664629326206,0.0,0.0,,,,,
12,508,12,0.0745882937940769,0.0,0.0,,,,,
13,549,13,0.05170378782322223,1.0,1.0,,,,,
14,590,14,0.052740495678983285,1.0,1.0,,,,,
15,631,15,0.04684392126672901,1.0,1.0,,,,,
16,672,16,0.0900661550682271,0.0,0.0,,,,,
17,713,17,0.06142248330591246,0.0,0.0,0.054903115998022264,1.0,1.0,,
18,754,18,0.059238629082137784,0.0,0.0,,,,,
19,787,19,0.06198107493928546,0.0,0.0,,,,,
20,828,20,0.05670844821870561,0.0,0.0,,,,,
21,861,21,0.04653525983216241,1.0,1.0,,,,,
22,902,22,0.036076887354371145,1.0,1.0,,,,,
23,943,23,0.0829730360278918,0.0,0.0,,,,,
24,976,24,0.0950612109946087,0.0,0.0,,,,,
25,1025,25,0.028500289851605583,1.0,1.0,0.03341124006418977,1.0,1.0,,
26,1074,26,0.06772460289791828,0.0,0.0,,,,,
27,1123,27,0.03390161226484148,1.0,1.0,,,,,
28,1164,28,0.04643319878727198,0.0,0.0,,,,,
29,1205,29,0.0406090658705507,1.0,1.0,,,,,
30,1246,30,0.07821881849179045,0.0,0.0,,,,,
31,1287,31,0.02691174736793619,1.0,1.0,,,,,
32,1328,32,0.028419821068819146,1.0,1.0,,,,,
33,1377,33,0.06012852049626719,0.0,0.0,0.0661084338598539,0.0,0.0,,
34,1418,34,0.05408187410625397,0.0,0.0,,,,,
35,1459,35,0.040539398677676225,0.0,0.0,,,,,
36,1508,36,0.09712879875073363,0.0,0.0,,,,,
37,1541,37,0.04936914537822304,0.0,0.0,,,,,
38,1582,38,0.07505609820623067,0.0,0.0,,,,,
39,1623,39,0.06289309652533848,0.0,0.0,,,,,
40,1664,40,0.051071015314519165,0.0,0.0,,,,,
41,1705,41,0.06110561124770904,0.0,0.0,0.056914169083815074,0.0,0.0,,
42,1738,42,0.06853733331081457,0.0,0.0,,,,,
43,1779,43,0.06066721652701382,0.0,0.0,,,,,
44,1828,44,0.0401157850252154,0.0,0.0,,,,,
45,1877,45,0.033767701598868965,1.0,1.0,,,,,
46,1918,46,0.07132183862139937,0.0,0.0,,,,,
47,1959,47,0.049244815328682315,0.0,0.0,,,,,
48,1992,48,0.05955732617486319,0.0,0.0,,,,,
49,2025,49,0.05181235478716189,0.0,0.0,0.048170780113432565,0.0,0.0,,
50,2066,50,0.04008108316485595,0.0,0.0,,,,,
51,2107,51,0.038056085697666275,1.0,1.0,,,,,
52,2156,52,0.04094228483363016,0.0,0.0,,,,,
53,2205,53,0.03746620686436169,0.0,0.0,,,,,
54,2246,54,0.03069561809498555,1.0,1.0,,,,,
55,2279,55,0.08454829848487862,0.0,0.0,,,,,
56,2312,56,0.05420306112704565,0.0,0.0,,,,,
57,2353,57,0.0853350967520528,0.0,0.0,0.036099987552806856,1.0,1.0,,
58,2386,58,0.033277607691707095,1.0,1.0,,,,,
59,2419,59,0.0923262198676821,0.0,0.0,,,,,
60,2460,60,0.0740332163520434,0.0,0.0,,,,,
61,2501,61,0.07077116776919094,0.0,0.0,,,,,
62,2542,62,0.030447986455459614,1.0,1.0,,,,,
63,2583,63,0.031134278774494307,1.0,1.0,,,,,
64,2624,64,0.04765226735849865,0.0,0.0,,,,,
65,2665,65,0.06147088319505565,0.0,0.0,0.03851180514506996,1.0,1.0,,
66,2706,66,0.046169724394101656,0.0,0.0,,,,,
67,2739,67,0.07314972172491253,0.0,0.0,,,,,
68,2780,68,0.054674320637423085,0.0,0.0,,,,,
69,2813,69,0.05516602866675385,0.0,0.0,,,,,
70,2846,70,0.051134778208370334,0.0,0.0,,,,,
71,2879,71,0.049651502547967546,1.0,1.0,,,,,
72,2920,72,0.03261388786212773,1.0,1.0,,,,,
73,2961,73,0.04867638092153357,0.0,0.0,0.050701532312668864,0.0,0.0,,
74,3002,74,0.0508375327561007,0.0,0.0,,,,,
75,3035,75,0.043474675927718635,0.0,0.0,,,,,
76,3068,76,0.04796714538591914,0.0,0.0,,,,,
77,3109,77,0.036273349712922946,0.0,0.0,,,,,
78,3150,78,0.031920734912506306,0.0,0.0,,,,,
79,3183,79,0.042653699754700944,0.0,0.0,,,,,
80,3216,80,0.046924479991303086,0.0,0.0,,,,,
81,3265,81,0.08929827391007468,0.0,0.0,0.04055764792859555,0.0,0.0,,
82,3306,82,0.034114431176101793,1.0,1.0,,,,,
83,3347,83,0.091240341815399,0.0,0.0,,,,,
84,3380,84,0.057755821056707644,0.0,0.0,,,,,
85,3421,85,0.03965081213141094,1.0,1.0,,,,,
86,3462,86,0.04934447273862316,0.0,0.0,,,,,
87,3503,87,0.03975141833689122,1.0,1.0,,,,,
88,3544,88,0.04820281010461622,0.0,0.0,,,,,
89,3585,89,0.04790262467743014,0.0,0.0,0.039792355598714496,0.0,0.0,,
90,3618,90,0.05406399038343807,0.0,0.0,,,,,
91,3667,91,0.03594106862276021,1.0,1.0,,,,,
92,3708,92,0.05268194011907326,0.0,0.0,,,,,
93,3749,93,0.05038516415186678,0.0,0.0,,,,,
94,3790,94,0.04646607287216466,0.0,0.0,,,,,
